medalist_name,medal,gender,sport
Kosuke Kitajima,gold,male,swimming
Larsen Jensen,bronze,male,swimming
Leith Brodie,bronze,male,swimming
László Cseh,silver,male,swimming
Maarten van der Weijden,gold,male,swimming
Mark Gangloff,gold,male,swimming
Matt Grevers,silver,male,swimming
Matt Targett,bronze,male,swimming
Michael Phelps,gold,male,swimming
Mikhail Polishchuk,silver,male,swimming
Milorad Čavić,silver,male,swimming
Nathan Adrian,gold,male,swimming
Nick Ffrost,bronze,male,swimming
Nikita Lobintsev,silver,male,swimming
Oussama Mellouli,gold,male,swimming
Park Tae-Hwan,silver,male,swimming
Patrick Murphy,bronze,male,swimming
Peter Vanderkaay,bronze,male,swimming
Ricky Berens,gold,male,swimming
Ryan Cochrane,bronze,male,swimming
Ryan Lochte,gold,male,swimming
Takeshi Matsuda,bronze,male,swimming
Takuro Fujii,bronze,male,swimming
Thomas Lurz,bronze,male,swimming
Yevgeny Lagunov,silver,male,swimming
Zhang Lin,silver,male,swimming
Alessia Filippi,silver,female,swimming
Alice Tait,bronze,female,swimming
Allison Schmitt,bronze,female,swimming
Angie Bainbridge,gold,female,swimming
Britta Steffen,gold,female,swimming
Bronte Barratt,gold,female,swimming
Caroline Burckle,bronze,female,swimming
Cassie Patten,bronze,female,swimming
Cate Campbell,bronze,female,swimming
Christine Magnuson,silver,female,swimming
Christine Marshall,bronze,female,swimming
Dara Torres,silver,female,swimming
Elaine Breeden,silver,female,swimming
Emily Seebohm,gold,female,swimming
Emily Silver,silver,female,swimming
Federica Pellegrini,gold,female,swimming
Felicity Galvez,gold,female,swimming
Femke Heemskerk,gold,female,swimming
Hinkelien Schreuder,gold,female,swimming
Inge Dekker,gold,female,swimming
Jessicah Schipper,bronze,female,swimming
Jiao Liuyang,silver,female,swimming
Joanne Jackson,bronze,female,swimming
Julia Smit,silver,female,swimming
Kara Lynn Joyce,silver,female,swimming
Katie Hoff,silver,female,swimming
Keri-Anne Payne,silver,female,swimming
Kim Vandenberg,bronze,female,swimming
Kirsty Coventry,silver,female,swimming
Kylie Palmer,gold,female,swimming
Lacey Nymeyer,silver,female,swimming
Lara Davenport,gold,female,swimming
Larisa Ilchenko,gold,female,swimming
Leisel Jones,gold,female,swimming
Libby Trickett,silver,female,swimming
Linda Mackenzie,gold,female,swimming
Liu Zige,gold,female,swimming
Lotte Friis,bronze,female,swimming
Manon van Rooijen,gold,female,swimming
Margaret Hoelzer,bronze,female,swimming
Marleen Veldhuis,gold,female,swimming
Megan Jendrick,silver,female,swimming
Melanie Schlanger,bronze,female,swimming
Mirna Jukić,bronze,female,swimming
Natalie Coughlin,bronze,female,swimming
Pang Jiaying,bronze,female,swimming
Ranomi Kromowidjojo,gold,female,swimming
Rebecca Adlington,gold,female,swimming
Rebecca Soni,silver,female,swimming
Reiko Nakamura,bronze,female,swimming
Sara Isaković,silver,female,swimming
Sara Nordenstam,bronze,female,swimming
Shayne Reese,bronze,female,swimming
Stephanie Rice,gold,female,swimming
Sun Ye,bronze,female,swimming
Tan Miao,silver,female,swimming
Tang Jingzhi,silver,female,swimming
Tarnee White,gold,female,swimming
Xu Tianlongzi,bronze,female,swimming
Yang Yu,silver,female,swimming
Zhao Jing,bronze,female,swimming
Zhou Yafei,bronze,female,swimming
Zhu Qianwei,silver,female,swimming
Alba Cabello,silver,female,synchronized swimming
Anastasia Davydova,gold,female,synchronized swimming
Anastasiya Yermakova,gold,female,synchronized swimming
Andrea Fuentes,silver,female,synchronized swimming
Anna Shorina,gold,female,synchronized swimming
Elvira Khasyanova,gold,female,synchronized swimming
Emiko Suzuki,bronze,female,synchronized swimming
Gemma Mengual,silver,female,synchronized swimming
Gisela Morón,silver,female,synchronized swimming
Gu Beibei,bronze,female,synchronized swimming
Huang Xuechen,bronze,female,synchronized swimming
Irina Rodríguez,silver,female,synchronized swimming
Jiang Tingting,bronze,female,synchronized swimming
Jiang Wenwen,bronze,female,synchronized swimming
Laura López,silver,female,synchronized swimming
Liu Ou,bronze,female,synchronized swimming
Luo Xi,bronze,female,synchronized swimming
Mariya Gromova,gold,female,synchronized swimming
Natalia Ishchenko,gold,female,synchronized swimming
Olga Kuzhela,gold,female,synchronized swimming
Paola Tirados,silver,female,synchronized swimming
Raquel Corral,silver,female,synchronized swimming
Saho Harada,bronze,female,synchronized swimming
Sun Qiuting,bronze,female,synchronized swimming
Svetlana Romashina,gold,female,synchronized swimming
Thaïs Henríquez,silver,female,synchronized swimming
Wang Na,bronze,female,synchronized swimming
Yelena Ovchinnikova,gold,female,synchronized swimming
Zhang Xiaohuan,bronze,female,synchronized swimming
Christian Süß,silver,male,table tennis
Dimitrij Ovtcharov,silver,male,table tennis
Ma Lin,gold,male,table tennis
Oh Sang-eun,bronze,male,table tennis
Ryu Seung-min,bronze,male,table tennis
Timo Boll,silver,male,table tennis
Wang Hao,silver,male,table tennis
Wang Liqin,bronze,male,table tennis
Yoon Jae-Young,bronze,male,table tennis
Dang Ye-seo,bronze,female,table tennis
Feng Tianwei,silver,female,table tennis
Guo Yue,bronze,female,table tennis
Kim Kyungah,bronze,female,table tennis
Li Jiawei,silver,female,table tennis
Park Mi-Young,bronze,female,table tennis
Wang Nan,silver,female,table tennis
Wang Yuegu,silver,female,table tennis
Zhang Yining,gold,female,table tennis
Alexandros Nikolaidis,silver,male,taekwondo
Arman Chilmanov,bronze,male,taekwondo
Cha Dong-Min,gold,male,taekwondo
Chika Chukwumerije,bronze,male,taekwondo
Chu Mu-yen,bronze,male,taekwondo
Gabriel Mercedes,silver,male,taekwondo
Guillermo Pérez,gold,male,taekwondo
Hadi Saei,gold,male,taekwondo
Mark López,silver,male,taekwondo
Mauro Sarmiento,silver,male,taekwondo
Rohullah Nikpai,bronze,male,taekwondo
Servet Tazegül,bronze,male,taekwondo
Son Tae-jin,gold,male,taekwondo
Steven López,bronze,male,taekwondo
Sung Yu-chi,bronze,male,taekwondo
Zhu Guo,bronze,male,taekwondo
Azize Tanrıkulu,silver,female,taekwondo
Buttree Puedpong,silver,female,taekwondo
Dalia Contreras,bronze,female,taekwondo
Daynellis Montejo,bronze,female,taekwondo
Diana López,bronze,female,taekwondo
Gwladys Épangue,bronze,female,taekwondo
Hwang Kyung-Seon,gold,female,taekwondo
Karine Sergerie,silver,female,taekwondo
Lim Su-jeong,gold,female,taekwondo
Martina Zubčić,bronze,female,taekwondo
María Espinoza,gold,female,taekwondo
Natália Falavigna,bronze,female,taekwondo
Nina Solheim,silver,female,taekwondo
Sandra Šarić,bronze,female,taekwondo
Sarah Stevenson,bronze,female,taekwondo
Wu Jingyu,gold,female,taekwondo
Bob Bryan,bronze,male,tennis
Fernando González,silver,male,tennis
Mike Bryan,bronze,male,tennis
Novak Djokovic,bronze,male,tennis
Rafael Nadal,gold,male,tennis
Roger Federer,gold,male,tennis
Simon Aspelin,silver,male,tennis
Stan Wawrinka,gold,male,tennis
Thomas Johansson,silver,male,tennis
Anabel Medina Garrigues,silver,female,tennis
Dinara Safina,silver,female,tennis
Elena Dementieva,gold,female,tennis
Serena Williams,gold,female,tennis
Venus Williams,gold,female,tennis
Vera Zvonareva,bronze,female,tennis
Virginia Ruano Pascual,silver,female,tennis
Yan Zi,bronze,female,tennis
Zheng Jie,bronze,female,tennis
Bevan Docherty,bronze,male,triathlon
Jan Frodeno,gold,male,triathlon
Simon Whitfield,silver,male,triathlon
Emma Moffatt,bronze,female,triathlon
Emma Snowsill,gold,female,triathlon
Vanessa Fernandes,silver,female,triathlon
Emanuel Rego,bronze,male,beach volleyball
Fábio Luiz Magalhães,silver,male,beach volleyball
Márcio Araújo,silver,male,beach volleyball
Phil Dalhausser,gold,male,beach volleyball
Ricardo Santos,bronze,male,beach volleyball
Todd Rogers,gold,male,beach volleyball
Kerri Walsh Jennings,gold,female,beach volleyball
Misty May-Treanor,gold,female,beach volleyball
Tian Jia,silver,female,beach volleyball
Wang Jie,silver,female,beach volleyball
Xue Chen,bronze,female,beach volleyball
Zhang Xi,bronze,female,beach volleyball
Aleksandr Korneev,bronze,male,volleyball
Aleksandr Kosarev,bronze,male,volleyball
Aleksandr Volkov,bronze,male,volleyball
Aleksey Kuleshov,bronze,male,volleyball
Aleksey Ostapenko,bronze,male,volleyball
Aleksey Verbov,bronze,male,volleyball
Anderson Rodrigues,silver,male,volleyball
André Heller,silver,male,volleyball
André Nascimento,silver,male,volleyball
Bruno Rezende,silver,male,volleyball
Clayton Stanley,gold,male,volleyball
Dante Amaral,silver,male,volleyball
David Lee,gold,male,volleyball
Gabriel Gardner,gold,male,volleyball
Giba,silver,male,volleyball
Gustavo Endres,silver,male,volleyball
Kevin Hansen,gold,male,volleyball
Lloy Ball,gold,male,volleyball
Marcelo Elgarten,silver,male,volleyball
Maxim Mikhaylov,bronze,male,volleyball
Murilo Endres,silver,male,volleyball
Reid Priddy,gold,male,volleyball
Richard Lambourne,gold,male,volleyball
Riley Salmon,gold,male,volleyball
Rodrigão,silver,male,volleyball
Ryan Millar,gold,male,volleyball
Samuel Fuchs,silver,male,volleyball
Scott Touzinsky,gold,male,volleyball
Sean Rooney,gold,male,volleyball
Semyon Poltavskiy,bronze,male,volleyball
Sergey Grankin,bronze,male,volleyball
Sergey Tetyukhin,bronze,male,volleyball
Sérgio Santos,silver,male,volleyball
Thomas Hoff,gold,male,volleyball
Vadim Khamuttskikh,bronze,male,volleyball
Yury Berezhko,bronze,male,volleyball
Carolina Albuquerque,gold,female,volleyball
Danielle Scott-Arruda,silver,female,volleyball
Fabiana Claudino,gold,female,volleyball
Fabiana de Oliveira,gold,female,volleyball
Feng Kun,bronze,female,volleyball
Fofão,gold,female,volleyball
Heather Bown,silver,female,volleyball
Jaqueline Carvalho,gold,female,volleyball
Jennifer Joines,silver,female,volleyball
Kim Glass,silver,female,volleyball
Kim Willoughby,silver,female,volleyball
Li Juan,bronze,female,volleyball
Lindsey Berg,silver,female,volleyball
Liu Yanan,bronze,female,volleyball
Logan Tom,silver,female,volleyball
Ma Yunwen,bronze,female,volleyball
Marianne Steinbrecher,gold,female,volleyball
Nicole Davis,silver,female,volleyball
Ogonna Nnamani,silver,female,volleyball
Paula Pequeno,gold,female,volleyball
Robyn Ah Mow-Santos,silver,female,volleyball
Sheilla Castro,gold,female,volleyball
Stacy Sykora,silver,female,volleyball
Tayyiba Haneef-Park,silver,female,volleyball
Thaísa Menezes,gold,female,volleyball
Valeska Menezes,gold,female,volleyball
Walewska Oliveira,gold,female,volleyball
Wang Yimei,bronze,female,volleyball
Wei Qiuyue,bronze,female,volleyball
Welissa Gonzaga,gold,female,volleyball
Xu Yunli,bronze,female,volleyball
Xue Ming,bronze,female,volleyball
Yang Hao,bronze,female,volleyball
Zhang Na,bronze,female,volleyball
Zhao Ruirui,bronze,female,volleyball
Zhou Suhong,bronze,female,volleyball
Adam Wright,silver,male,water polo
Aleksandar Ćirić,bronze,male,water polo
Aleksandar Šapić,bronze,male,water polo
Andrija Prlainović,bronze,male,water polo
Brandon Brooks,silver,male,water polo
Branko Peković,bronze,male,water polo
Dejan Savić,bronze,male,water polo
Denis Šefik,bronze,male,water polo
Duško Pijetlović,bronze,male,water polo
Dániel Varga,gold,male,water polo
Dénes Varga,gold,male,water polo
Filip Filipović,bronze,male,water polo
Gergely Kiss,gold,male,water polo
Gábor Kis,gold,male,water polo
István Gergely,gold,male,water polo
J. W. Krumpholz,silver,male,water polo
Jeff Powers,silver,male,water polo
Jesse Smith,silver,male,water polo
Layne Beaubien,silver,male,water polo
Merrill Moses,silver,male,water polo
Nikola Rađen,bronze,male,water polo
Norbert Hosnyánszky,gold,male,water polo
Norbert Madaras,gold,male,water polo
Peter Hudnut,silver,male,water polo
Peter Varellas,silver,male,water polo
Péter Biros,gold,male,water polo
Rick Merlo,silver,male,water polo
Ryan Bailey,silver,male,water polo
Slobodan Soro,bronze,male,water polo
Tamás Kásás,gold,male,water polo
Tamás Molnár,gold,male,water polo
Tamás Varga,gold,male,water polo
Tibor Benedek,gold,male,water polo
Tim Hutten,silver,male,water polo
Tony Azevedo,silver,male,water polo
Vanja Udovičić,bronze,male,water polo
Vladimir Vujasinović,bronze,male,water polo
Zoltán Szécsi,gold,male,water polo
Živko Gocić,bronze,male,water polo
Alette Sijbring,gold,female,water polo
Alicia McCormack,bronze,female,water polo
Alison Gregorka,silver,female,water polo
Amy Hetzel,bronze,female,water polo
Biurakn Hakhverdian,gold,female,water polo
Brenda Villa,silver,female,water polo
Brittany Hayes,silver,female,water polo
Bronwen Knox,bronze,female,water polo
Daniëlle de Bruijn,gold,female,water polo
Elizabeth Armstrong,silver,female,water polo
Elsie Windes,silver,female,water polo
Emma Knox,bronze,female,water polo
Gemma Beadsworth,bronze,female,water polo
Gillian van den Berg,gold,female,water polo
Heather Petri,silver,female,water polo
Iefke van Belkum,gold,female,water polo
Ilse van der Meijden,gold,female,water polo
Jaime Komer,silver,female,water polo
Jenna Santoromito,bronze,female,water polo
Jessica Steffens,silver,female,water polo
Kami Craig,silver,female,water polo
Kate Gynther,bronze,female,water polo
Lauren Wenger,silver,female,water polo
Marieke van den Ham,gold,female,water polo
Meike de Nooy,gold,female,water polo
Melissa Rippon,bronze,female,water polo
Mia Santoromito,bronze,female,water polo
Mieke Cabout,gold,female,water polo
Moriah van Norman,silver,female,water polo
Natalie Golda,silver,female,water polo
Nikita Cuffe,bronze,female,water polo
Noeki Klein,gold,female,water polo
Patty Cardenas,silver,female,water polo
Rebecca Rippon,bronze,female,water polo
Rianne Guichelaar,gold,female,water polo
Simone Koot,gold,female,water polo
Suzie Fraser,bronze,female,water polo
Taniele Gofers,bronze,female,water polo
Yasemin Smit,gold,female,water polo
Andrei Aramnau,gold,male,weightlifting
Arsen Kasabiev,silver,male,weightlifting
Diego Salazar,silver,male,weightlifting
Dmitry Klokov,silver,male,weightlifting
Eko Irawan,bronze,male,weightlifting
Evgeny Chigishev,silver,male,weightlifting
Gevorg Davtyan,bronze,male,weightlifting
Hoang Anh Tuan,silver,male,weightlifting
Jadier Valladares,bronze,male,weightlifting
Li Hongli,silver,male,weightlifting
Liao Hui,gold,male,weightlifting
Long Qingquan,gold,male,weightlifting
Lu Yong,gold,male,weightlifting
Marcin Dołęga,bronze,male,weightlifting
Matthias Steiner,gold,male,weightlifting
Sa Jae-Hyouk,gold,male,weightlifting
Szymon Kołecki,gold,male,weightlifting
Tigran Vardan Martirosyan,silver,male,weightlifting
Triyatno,bronze,male,weightlifting
Vencelas Dabaya,silver,male,weightlifting
Viktors Ščerbatihs,bronze,male,weightlifting
Yoandry Hernández,bronze,male,weightlifting
Yordanis Borrero,bronze,male,weightlifting
Zhang Xiangxiang,gold,male,weightlifting
Abeer Abdelrahman,bronze,female,weightlifting
Alla Vazhenina,gold,female,weightlifting
Chen Wei-ling,gold,female,weightlifting
Chen Yanqing,gold,female,weightlifting
Christine Girard,bronze,female,weightlifting
Damaris Gabriela Aguirre Aldaz,bronze,female,weightlifting
Ele Opeloge,silver,female,weightlifting
Im Jyoung-Hwa,silver,female,weightlifting
Jang Mi-ran,gold,female,weightlifting
Leydi Solís,silver,female,weightlifting
Lu Ying-chi,silver,female,weightlifting
Lydia Valentín,silver,female,weightlifting
Mariam Usman,bronze,female,weightlifting
O Jong-ae,silver,female,weightlifting
Oksana Slivenko,gold,female,weightlifting
Pak Hyon-suk,gold,female,weightlifting
Pensiri Laosirikul,bronze,female,weightlifting
Prapawadee Jaroenrattanatarakoon,gold,female,weightlifting
Raema Lisa Rumbewas,bronze,female,weightlifting
Wandee Kameaim,bronze,female,weightlifting
Yoon Jin-Hee,silver,female,weightlifting
Andriy Stadnik,silver,male,freestyle wrestling
Bakhtiyar Akhmedov,gold,male,freestyle wrestling
Bazar Bazarguruev,bronze,male,freestyle wrestling
Besik Kudukhov,bronze,male,freestyle wrestling
Buvaisar Saitiev,gold,male,freestyle wrestling
David Musuľbes,silver,male,freestyle wrestling
Disney Rodríguez,bronze,male,freestyle wrestling
Georgy Ketoyev,bronze,male,freestyle wrestling
Gheorghiță Ștefan,bronze,male,freestyle wrestling
Giorgi Gogshelidze,silver,male,freestyle wrestling
Henry Cejudo,gold,male,freestyle wrestling
Kenichi Yumoto,silver,male,freestyle wrestling
Khetag Gazyumov,bronze,male,freestyle wrestling
Kiril Terziev,bronze,male,freestyle wrestling
Marid Mutalimov,bronze,male,freestyle wrestling
Mavlet Batirov,gold,male,freestyle wrestling
Michel Batista Martínez,bronze,male,freestyle wrestling
Morad Mohammadi,bronze,male,freestyle wrestling
Murad Gaidarov,silver,male,freestyle wrestling
Otar Tushishvili,bronze,male,freestyle wrestling
Radoslav Velikov,bronze,male,freestyle wrestling
Ramazan Şahin,gold,male,freestyle wrestling
Revaz Mindorashvili,gold,male,freestyle wrestling
Shirvani Muradov,gold,male,freestyle wrestling
Sushil Kumar,bronze,male,freestyle wrestling
Taras Danko,bronze,male,freestyle wrestling
Tomohiro Matsunaga,silver,male,freestyle wrestling
Yusup Abdusalomov,silver,male,freestyle wrestling
Agnieszka Wieszczek-Kordus,bronze,female,freestyle wrestling
Alena Kartashova,silver,female,freestyle wrestling
Carol Huynh,gold,female,freestyle wrestling
Chiharu Icho,silver,female,freestyle wrestling
Iryna Merleni,bronze,female,freestyle wrestling
Jackeline Rentería,bronze,female,freestyle wrestling
Kaori Icho,gold,female,freestyle wrestling
Kyoko Hamaguchi,bronze,female,freestyle wrestling
Mariya Stadnik,bronze,female,freestyle wrestling
Randi Miller,bronze,female,freestyle wrestling
Saori Yoshida,gold,female,freestyle wrestling
Stanka Zlateva,silver,female,freestyle wrestling
Tonya Verbeek,bronze,female,freestyle wrestling
Wang Jiao,gold,female,freestyle wrestling
Xu Li,silver,female,freestyle wrestling
Yelena Shalygina,bronze,female,freestyle wrestling
Adam Wheeler,bronze,male,greco-roman wrestling
Andrea Minguzzi,gold,male,greco-roman wrestling
Armen Vardanyan,bronze,male,greco-roman wrestling
Aslanbek Khushtov,gold,male,greco-roman wrestling
Chang Yongxiang,silver,male,greco-roman wrestling
Christophe Guénot,bronze,male,greco-roman wrestling
Islambek Albiev,gold,male,greco-roman wrestling
Kanatbek Begaliev,silver,male,greco-roman wrestling
Manuchar Kvirkvelia,gold,male,greco-roman wrestling
Marek Švec,bronze,male,greco-roman wrestling
Mijaín López,gold,male,greco-roman wrestling
Mikhail Siamionau,bronze,male,greco-roman wrestling
Mindaugas Mizgaitis,silver,male,greco-roman wrestling
Mirko Englich,silver,male,greco-roman wrestling
Nazmi Avluca,bronze,male,greco-roman wrestling
Nazyr Mankiev,gold,male,greco-roman wrestling
Nurbakyt Tengizbayev,silver,male,greco-roman wrestling
Park Eun-Chul,bronze,male,greco-roman wrestling
Roman Amoyan,bronze,male,greco-roman wrestling
Rovshan Bayramov,silver,male,greco-roman wrestling
Ruslan Tumenbaev,bronze,male,greco-roman wrestling
Sheng Jiang,bronze,male,greco-roman wrestling
Steeve Guénot,gold,male,greco-roman wrestling
Yannick Szczepaniak,bronze,male,greco-roman wrestling
Yavor Yanakiev,bronze,male,greco-roman wrestling
Yury Patrikeyev,bronze,male,greco-roman wrestling
Zoltán Fodor,silver,male,greco-roman wrestling
